Abroscopus albogularis,Rufous-faced Warbler
Pulsatrix perspicillata,Spectacled Owl
Purnella albifrons,White-fronted Honeyeater
Pycnonotus aurigaster,Sooty-headed Bulbul
Pycnonotus barbatus,Common Bulbul
Pycnonotus cafer,Red-vented Bulbul
Pycnonotus capensis,Cape Bulbul
Pycnonotus finlaysoni,Stripe-throated Bulbul
Pycnonotus goiavier,Yellow-vented Bulbul
Pycnonotus jocosus,Red-whiskered Bulbul
Pycnonotus leucogenys,Himalayan Bulbul
Pycnonotus luteolus,White-browed Bulbul
Pycnonotus plumosus,Olive-winged Bulbul
Pycnonotus sinensis,Light-vented Bulbul
Pycnonotus striatus,Striated Bulbul
Pycnonotus xanthopygos,White-spectacled Bulbul
Pygarrhichas albogularis,White-throated Treerunner
Pygiptila stellaris,Spot-winged Antshrike
Pygochelidon cyanoleuca,Blue-and-white Swallow
Pyriglena leuconota,East Amazonian Fire-eye
Pyriglena leucoptera,White-shouldered Fire-eye
Pyriglena maura,Western Fire-eye
Pyrilia haematotis,Brown-hooded Parrot
Pyrocephalus rubinus,Vermilion Flycatcher
Pyroderus scutatus,Red-ruffed Fruitcrow
Pyrrhocorax graculus,Yellow-billed Chough
Pyrrhocorax pyrrhocorax,Red-billed Chough
Pyrrhomyias cinnamomeus,Cinnamon Flycatcher
Pyrrhula pyrrhula,Eurasian Bullfinch
Pyrrhura amazonum,Santarem Parakeet
Pyrrhura frontalis,Maroon-bellied Parakeet
Pyrrhura melanura,Maroon-tailed Parakeet
Pyrrhura molinae,Green-cheeked Parakeet
Pyrrhura picta,Painted Parakeet
Querula purpurata,Purple-throated Fruitcrow
Quiscalus lugubris,Carib Grackle
Quiscalus major,Boat-tailed Grackle
Quiscalus mexicanus,Great-tailed Grackle
Quiscalus quiscula,Common Grackle
Rallina eurizonoides,Slaty-legged Crake
Rallus aquaticus,Water Rail
Rallus crepitans,Clapper Rail
Rallus elegans,King Rail
Rallus limicola,Virginia Rail
Rallus longirostris,Mangrove Rail
Rallus obsoletus,Ridgway's Rail
Rallus semiplumbeus,Bogota Rail
Ramphastos ambiguus,Yellow-throated Toucan
Ramphastos brevis,Choco Toucan
Ramphastos dicolorus,Red-breasted Toucan
Ramphastos sulfuratus,Keel-billed Toucan
Ramphastos toco,Toco Toucan
Ramphastos tucanus,White-throated Toucan
Ramphastos vitellinus,Channel-billed Toucan
Ramphocaenus melanurus,Long-billed Gnatwren
Ramphocelus bresilius,Brazilian Tanager
Ramphocelus carbo,Silver-beaked Tanager
Ramphocelus dimidiatus,Crimson-backed Tanager
Ramphocelus flammigerus,Flame-rumped Tanager
Ramphocelus passerinii,Scarlet-rumped Tanager
Ramphotrigon fuscicauda,Dusky-tailed Flatbill
Ramphotrigon megacephalum,Large-headed Flatbill
Ramphotrigon ruficauda,Rufous-tailed Flatbill
Recurvirostra americana,American Avocet
Recurvirostra avosetta,Pied Avocet
Regulus ignicapilla,Common Firecrest
Regulus regulus,Goldcrest
Regulus satrapa,Golden-crowned Kinglet
Remiz pendulinus,Eurasian Penduline-Tit
Rhinocrypta lanceolata,Crested Gallito
Rhinopomastus cyanomelas,Common Scimitarbill
Rhipidura albicollis,White-throated Fantail
Rhipidura albiscapa,Gray Fantail
Rhipidura albogularis,Spot-breasted Fantail
Rhipidura aureola,White-browed Fantail
Rhipidura fuliginosa,New Zealand Fantail
Rhipidura javanica,Malaysian Pied-Fantail
Rhipidura leucophrys,Willie-wagtail
Rhipidura rufifrons,Rufous Fantail
Rhipidura rufiventris,Northern Fantail
Rhodinocichla rosea,Rosy Thrush-Tanager
Rhopias gularis,Star-throated Antwren
Rhopospina fruticeti,Mourning Sierra Finch
Rhynchocyclus olivaceus,Olivaceous Flatbill
Rhynchophanes mccownii,Thick-billed Longspur
Rhynchotus rufescens,Red-winged Tinamou
Rhyticeros plicatus,Blyth's Hornbill
Rhytipterna holerythra,Rufous Mourner
Rhytipterna simplex,Grayish Mourner
Riparia riparia,Bank Swallow
Rissa tridactyla,Black-legged Kittiwake
Rostrhamus sociabilis,Snail Kite
Rubigula erythropthalmos,Spectacled Bulbul
Rubigula flaviventris,Black-crested Bulbul
Rubigula gularis,Flame-throated Bulbul
Rupicola peruvianus,Andean Cock-of-the-rock
Rupicola rupicola,Guianan Cock-of-the-rock
Rupornis magnirostris,Roadside Hawk
Rynchops niger,Black Skimmer
Sakesphorus canadensis,Black-crested Antshrike
Sakesphorus cristatus,Silvery-cheeked Antshrike
Sakesphorus luctuosus,Glossy Antshrike
Salpinctes obsoletus,Rock Wren
Saltator atriceps,Black-headed Saltator
Saltator atripennis,Black-winged Saltator
Saltator aurantiirostris,Golden-billed Saltator
Saltator coerulescens,Blue-gray Saltator
Saltator fuliginosus,Black-throated Grosbeak
Saltator grandis,Cinnamon-bellied Saltator
Saltator grossus,Slate-colored Grosbeak
Saltator maximus,Buff-throated Saltator
Saltator olivascens,Olivaceous Saltator
Saltator orenocensis,Orinocan Saltator
Saltator similis,Green-winged Saltator
Saltator striatipectus,Streaked Saltator
Saltatricula atricollis,Black-throated Saltator
Saltatricula multicolor,Many-colored Chaco Finch
Sarothrura elegans,Buff-spotted Flufftail
Sarothrura pulchra,White-spotted Flufftail
Saucerottia beryllina,Berylline Hummingbird
Saxicola caprata,Pied Bushchat
Saxicola ferreus,Gray Bushchat
Saxicola maurus,Siberian Stonechat
Saxicola rubetra,Whinchat
Saxicola rubicola,European Stonechat
Saxicola torquatus,African Stonechat
Sayornis nigricans,Black Phoebe
Sayornis phoebe,Eastern Phoebe
Sayornis saya,Say's Phoebe
Scaphiopus couchii,Couch's Spadefoot
Scelorchilus albicollis,White-throated Tapaculo
Scelorchilus rubecula,Chucao Tapaculo
Scenopoeetes dentirostris,Tooth-billed Bowerbird
Schiffornis major,Varzea Schiffornis
Schiffornis turdina,Brown-winged Schiffornis
Schiffornis veraepacis,Northern Schiffornis
Schiffornis virescens,Greenish Schiffornis
Schistochlamys melanopis,Black-faced Tanager
Schoeniophylax phryganophilus,Chotoy Spinetail
Schoeniparus brunneus,Dusky Fulvetta
Sciaphylax hemimelaena,Chestnut-tailed Antbird
Sciurus carolinensis,Eastern Gray Squirrel
Sclateria naevia,Silvered Antbird
Sclerurus albigularis,Gray-throated Leaftosser
Sclerurus guatemalensis,Scaly-throated Leaftosser
Sclerurus mexicanus,Middle American Leaftosser
Sclerurus obscurior,South American Leaftosser
Sclerurus scansor,Rufous-breasted Leaftosser
Scolopax minor,American Woodcock
Scolopax rusticola,Eurasian Woodcock
Scopus umbretta,Hamerkop
Scudderia curvicauda,Curve-tailed Bush Katydid
Scudderia furcata,Fork-tailed Bush Katydid
Scudderia texensis,Texas Bush Katydid
Scytalopus alvarezlopezi,Tatama Tapaculo
Scytalopus argentifrons,Silvery-fronted Tapaculo
Scytalopus atratus,White-crowned Tapaculo
Scytalopus chocoensis,Choco Tapaculo
Scytalopus femoralis,Rufous-vented Tapaculo
Scytalopus fuscus,Dusky Tapaculo
Scytalopus griseicollis,Pale-bellied Tapaculo
Scytalopus latrans,Blackish Tapaculo
Scytalopus magellanicus,Magellanic Tapaculo
Scytalopus micropterus,Long-tailed Tapaculo
Scytalopus opacus,Paramo Tapaculo
Scytalopus parvirostris,Trilling Tapaculo
Scytalopus speluncae,Mouse-colored Tapaculo
Scytalopus spillmanni,Spillmann's Tapaculo
Scytalopus stilesi,Stiles's Tapaculo
Scytalopus vicinior,Nariño Tapaculo
Scythrops novaehollandiae,Channel-billed Cuckoo
Seiurus aurocapilla,Ovenbird
Selasphorus calliope,Calliope Hummingbird
Selasphorus platycercus,Broad-tailed Hummingbird
Selasphorus rufus,Rufous Hummingbird
Selasphorus sasin,Allen's Hummingbird
Selenidera piperivora,Guianan Toucanet
Selenidera reinwardtii,Golden-collared Toucanet
Semnornis ramphastinus,Toucan Barbet
Sephanoides sephaniodes,Green-backed Firecrown
Sericornis frontalis,White-browed Scrubwren
Sericornis humilis,Tasmanian Scrubwren
Sericornis magnirostra,Large-billed Scrubwren
Sericossypha albocristata,White-capped Tanager
Serinus canaria,Island Canary
Serinus serinus,European Serin
Serpophaga griseicapilla,Straneck's Tyrannulet
Serpophaga subcristata,White-crested Tyrannulet
Setopagis parvula,Little Nightjar
Setophaga americana,Northern Parula
Setophaga caerulescens,Black-throated Blue Warbler
Setophaga castanea,Bay-breasted Warbler
Setophaga cerulea,Cerulean Warbler
Setophaga chrysoparia,Golden-cheeked Warbler
Setophaga citrina,Hooded Warbler
Setophaga coronata,Yellow-rumped Warbler
Setophaga discolor,Prairie Warbler
Setophaga dominica,Yellow-throated Warbler
Setophaga fusca,Blackburnian Warbler
Setophaga graciae,Grace's Warbler
Setophaga kirtlandii,Kirtland's Warbler
Setophaga magnolia,Magnolia Warbler
Setophaga nigrescens,Black-throated Gray Warbler
Setophaga occidentalis,Hermit Warbler
Setophaga palmarum,Palm Warbler
Setophaga pensylvanica,Chestnut-sided Warbler
Setophaga petechia,Yellow Warbler
Setophaga pinus,Pine Warbler
Setophaga pitiayumi,Tropical Parula
Setophaga ruticilla,American Redstart
Setophaga striata,Blackpoll Warbler
Setophaga tigrina,Cape May Warbler
Setophaga townsendi,Townsend's Warbler
Setophaga virens,Black-throated Green Warbler
Sialia currucoides,Mountain Bluebird
Sialia mexicana,Western Bluebird
Sialia sialis,Eastern Bluebird
Sicalis auriventris,Greater Yellow-Finch
Sicalis citrina,Stripe-tailed Yellow-Finch
Sicalis flaveola,Saffron Finch
Sicalis luteola,Grassland Yellow-Finch
Sicalis olivascens,Greenish Yellow-Finch
Sinosuthora webbiana,Vinous-throated Parrotbill
Sipia laemosticta,Dull-mantled Antbird
Sipia nigricauda,Esmeraldas Antbird
Siren,Siren
Sirystes sibilator,Sibilant Sirystes
Sitta canadensis,Red-breasted Nuthatch
Sitta carolinensis,White-breasted Nuthatch
Sitta cinnamoventris,Chestnut-bellied Nuthatch
Sitta europaea,Eurasian Nuthatch
Sitta frontalis,Velvet-fronted Nuthatch
Sitta himalayensis,White-tailed Nuthatch
Sitta nagaensis,Chestnut-vented Nuthatch
Sitta neumayer,Western Rock Nuthatch
Sitta pusilla,Brown-headed Nuthatch
Sitta pygmaea,Pygmy Nuthatch
Sittasomus griseicapillus,Olivaceous Woodcreeper
Sittiparus varius,Varied Tit
Smicrornis brevirostris,Weebill
Smithornis capensis,African Broadbill
Somateria mollissima,Common Eider
Spartonoica maluroides,Bay-capped Wren-Spinetail
Spatula clypeata,Northern Shoveler
Spatula cyanoptera,Cinnamon Teal
Spatula discors,Blue-winged Teal
Spatula querquedula,Garganey
Spea bombifrons,Plains Spadefoot
Spermestes cucullata,Bronze Mannikin
Sphecotheres vieilloti,Australasian Figbird
Spheniscus demersus,African Penguin
Sphenoeacus afer,Cape Grassbird
Sphenopsis frontalis,Oleaginous Hemispingus
Sphenopsis melanotis,Black-eared Hemispingus
Sphyrapicus nuchalis,Red-naped Sapsucker
Sphyrapicus ruber,Red-breasted Sapsucker
Sphyrapicus thyroideus,Williamson's Sapsucker
Sphyrapicus varius,Yellow-bellied Sapsucker
Spilornis cheela,Crested Serpent-Eagle
Spindalis zena,Western Spindalis
Spinus barbatus,Black-chinned Siskin
Spinus lawrencei,Lawrence's Goldfinch
Spinus magellanicus,Hooded Siskin
Spinus notatus,Black-headed Siskin
Spinus pinus,Pine Siskin
Spinus psaltria,Lesser Goldfinch
Spinus spinus,Eurasian Siskin
Spinus tristis,American Goldfinch
Spinus xanthogastrus,Yellow-bellied Siskin
Spiza americana,Dickcissel
Spizaetus ornatus,Ornate Hawk-Eagle
Spizaetus tyrannus,Black Hawk-Eagle
Spizella atrogularis,Black-chinned Sparrow
Spizella breweri,Brewer's Sparrow
Spizella pallida,Clay-colored Sparrow
Spizella passerina,Chipping Sparrow
Spizella pusilla,Field Sparrow
Spizelloides arborea,American Tree Sparrow
Spizixos semitorques,Collared Finchbill
Spodiornis rusticus,Slaty Finch
Sporophila angolensis,Chestnut-bellied Seed-Finch
Sporophila caerulescens,Double-collared Seedeater
Sporophila corvina,Variable Seedeater
Sporophila frontalis,Buffy-fronted Seedeater
Sporophila funerea,Thick-billed Seed-Finch
Sporophila intermedia,Gray Seedeater
Sporophila leucoptera,White-bellied Seedeater
Sporophila lineola,Lined Seedeater
Sporophila luctuosa,Black-and-white Seedeater
Sporophila minuta,Ruddy-breasted Seedeater
Sporophila morelleti,Morelet's Seedeater
Sporophila nigricollis,Yellow-bellied Seedeater
Sporophila plumbea,Plumbeous Seedeater
Sporophila schistacea,Slate-colored Seedeater
Sporophila torqueola,Cinnamon-rumped Seedeater
Stachyris maculata,Chestnut-rumped Babbler
Stachyris nigriceps,Gray-throated Babbler
Stachyris nigricollis,Black-throated Babbler
Stactolaema olivacea,Green Barbet
Steatornis caripensis,Oilbird
Stelgidopteryx ruficollis,Southern Rough-winged Swallow
Stelgidopteryx serripennis,Northern Rough-winged Swallow
Stenostira scita,Fairy Flycatcher
Stephanoaetus coronatus,Crowned Eagle
Stephanophorus diadematus,Diademed Tanager
Stercorarius longicaudus,Long-tailed Jaeger
Stercorarius maccormicki,South Polar Skua
Stercorarius parasiticus,Parasitic Jaeger
Stercorarius pomarinus,Pomarine Jaeger
Sterna aurantia,River Tern
Sterna dougallii,Roseate Tern
Sterna forsteri,Forster's Tern
Sterna hirundo,Common Tern
Sterna paradisaea,Arctic Tern
Sternula albifrons,Little Tern
Sternula antillarum,Least Tern
Stigmatura budytoides,Greater Wagtail-Tyrant
Stilpnia cayana,Burnished-buff Tanager
Stilpnia heinei,Black-capped Tanager
Stilpnia larvata,Golden-hooded Tanager
Stilpnia vitriolina,Scrub Tanager
Stiphrornis erythrothorax,Forest Robin
Strepera graculina,Pied Currawong
Strepera versicolor,Gray Currawong
Streptopelia capicola,Ring-necked Dove
Streptopelia chinensis,Spotted Dove
Streptopelia decaocto,Eurasian Collared-Dove
Streptopelia decipiens,Mourning Collared-Dove
Streptopelia orientalis,Oriental Turtle-Dove
Streptopelia semitorquata,Red-eyed Dove
Streptopelia senegalensis,Laughing Dove
Streptopelia turtur,European Turtle-Dove
Streptopelia vinacea,Vinaceous Dove
Streptoprocne zonaris,White-collared Swift
Strix aluco,Tawny Owl
Strix hylophila,Rusty-barred Owl
Strix leptogrammica,Brown Wood-Owl
Strix nebulosa,Great Gray Owl
Strix occidentalis,Spotted Owl
Strix ocellata,Mottled Wood-Owl
Strix rufipes,Rufous-legged Owl
Strix uralensis,Ural Owl
Strix varia,Barred Owl
Strix woodfordii,African Wood-Owl
Sturnella magna,Eastern Meadowlark
Sturnella neglecta,Western Meadowlark
Sturnia malabarica,Chestnut-tailed Starling
Sturnia pagodarum,Brahminy Starling
Sturnus unicolor,Spotless Starling
Sturnus vulgaris,European Starling
Sublegatus modestus,Southern Scrub-Flycatcher
Suiriri suiriri,Suiriri Flycatcher
Sula dactylatra,Masked Booby
Sula leucogaster,Brown Booby
Sula sula,Red-footed Booby
Surnia ulula,Northern Hawk Owl
Surniculus dicruroides,Fork-tailed Drongo-Cuckoo
Surniculus lugubris,Square-tailed Drongo-Cuckoo
Sylvia abyssinica,African Hill Babbler
Sylvia atricapilla,Eurasian Blackcap
Sylvia borin,Garden Warbler
Sylvietta rufescens,Cape Crombec
Sylvietta virens,Green Crombec
Sylvietta whytii,Red-faced Crombec
Sylviorthorhynchus desmursii,Des Murs's Wiretail
Symposiachrus trivirgatus,Spectacled Monarch
Synallaxis albescens,Pale-breasted Spinetail
Synallaxis albigularis,Dark-breasted Spinetail
Synallaxis albilora,White-lored Spinetail
Synallaxis azarae,Azara's Spinetail
Synallaxis brachyura,Slaty Spinetail
Synallaxis candei,White-whiskered Spinetail
Synallaxis cinerascens,Gray-bellied Spinetail
Synallaxis cinnamomea,Stripe-breasted Spinetail
Synallaxis erythrothorax,Rufous-breasted Spinetail
Synallaxis frontalis,Sooty-fronted Spinetail
Synallaxis fuscorufa,Rusty-headed Spinetail
Synallaxis gujanensis,Plain-crowned Spinetail
Synallaxis ruficapilla,Rufous-capped Spinetail
Synallaxis rutilans,Ruddy Spinetail
Synallaxis scutata,Ochre-cheeked Spinetail
Synallaxis spixi,Spix's Spinetail
Synallaxis stictothorax,Necklaced Spinetail
Synallaxis subpudica,Silvery-throated Spinetail
Synallaxis unirufa,Rufous Spinetail
Syndactyla rufosuperciliata,Buff-browed Foliage-gleaner
Syndactyla subalaris,Lineated Foliage-gleaner
Synoicus ypsilophorus,Brown Quail
Syrigma sibilatrix,Whistling Heron
Systellura longirostris,Band-winged Nightjar
Tachuris rubrigastra,Many-colored Rush Tyrant
Tachybaptus dominicus,Least Grebe
Tachybaptus ruficollis,Little Grebe
Tachycineta bicolor,Tree Swallow
Tachycineta leucopyga,Chilean Swallow
Tachycineta thalassina,Violet-green Swallow
Tachyphonus coronatus,Ruby-crowned Tanager
Tachyphonus delatrii,Tawny-crested Tanager
Tachyphonus rufus,White-lined Tanager
Tachyphonus surinamus,Fulvous-crested Tanager
Tadorna ferruginea,Ruddy Shelduck
Tadorna tadorna,Common Shelduck
Tadorna variegata,Paradise Shelduck
Taenioptynx brodiei,Collared Owlet
Tamias striatus,Eastern Chipmunk
Tamiasciurus hudsonicus,Red Squirrel
Tangara arthus,Golden Tanager
Tangara chilensis,Paradise Tanager
Tangara gyrola,Bay-headed Tanager
Tangara velia,Opal-rumped Tanager
Tanysiptera galatea,Common Paradise-Kingfisher
Tapera naevia,Striped Cuckoo
Taraba major,Great Antshrike
Tarphonomus certhioides,Chaco Earthcreeper
Tarsiger cyanurus,Red-flanked Bluetail
Tarsiger indicus,White-browed Bush-Robin
Tauraco corythaix,Knysna Turaco
Tauraco livingstonii,Livingstone's Turaco
Tauraco porphyreolophus,Purple-crested Turaco
Tchagra australis,Brown-crowned Tchagra
Tchagra senegalus,Black-crowned Tchagra
Telophorus nigrifrons,Black-fronted Bushshrike
Telophorus olivaceus,Olive Bushshrike
Telophorus sulfureopectus,Sulphur-breasted Bushshrike
Telophorus viridis,Four-colored Bushshrike
Telophorus zeylonus,Bokmakierie
Tephrodornis pondicerianus,Common Woodshrike
Tephrodornis virgatus,Large Woodshrike
Terenotriccus erythrurus,Ruddy-tailed Flycatcher
Terenura maculata,Streak-capped Antwren
Terpsiphone affinis,Blyth's Paradise-Flycatcher
Terpsiphone atrocaudata,Japanese Paradise-Flycatcher
Terpsiphone paradisi,Indian Paradise-Flycatcher
Terpsiphone rufiventer,Black-headed Paradise-Flycatcher
Terpsiphone viridis,African Paradise-Flycatcher
Tersina viridis,Swallow Tanager
Tesia cyaniventer,Gray-bellied Tesia
Tesia olivea,Slaty-bellied Tesia
Tetrao urogallus,Western Capercaillie
Tetrastes bonasia,Hazel Grouse
Tetrax tetrax,Little Bustard
Thalasseus bergii,Great Crested Tern
Thalasseus elegans,Elegant Tern
Thalasseus maximus,Royal Tern
Thalasseus sandvicensis,Sandwich Tern
Thalurania furcata,Fork-tailed Woodnymph
Thalurania glaucopis,Violet-capped Woodnymph
Thamnistes anabatinus,Russet Antshrike
Thamnolaea cinnamomeiventris,Mocking Cliff-Chat
Thamnomanes ardesiacus,Dusky-throated Antshrike
Thamnomanes caesius,Cinereous Antshrike
Thamnomanes saturninus,Saturnine Antshrike
Thamnomanes schistogynus,Bluish-slate Antshrike
Thamnophilus aethiops,White-shouldered Antshrike
Thamnophilus amazonicus,Amazonian Antshrike
Thamnophilus ambiguus,Sooretama Slaty-Antshrike
Thamnophilus atrinucha,Black-crowned Antshrike
Thamnophilus bernardi,Collared Antshrike
Thamnophilus bridgesi,Black-hooded Antshrike
Thamnophilus caerulescens,Variable Antshrike
Thamnophilus doliatus,Barred Antshrike
Thamnophilus melanonotus,Black-backed Antshrike
Thamnophilus multistriatus,Bar-crested Antshrike
Thamnophilus murinus,Mouse-colored Antshrike
Thamnophilus nigriceps,Black Antshrike
Thamnophilus palliatus,Chestnut-backed Antshrike
Thamnophilus pelzelni,Planalto Slaty-Antshrike
Thamnophilus punctatus,Northern Slaty-Antshrike
Thamnophilus ruficapillus,Rufous-capped Antshrike
Thamnophilus schistaceus,Plain-winged Antshrike
Thamnophilus stictocephalus,Natterer's Slaty-Antshrike
Thamnophilus tenuepunctatus,Lined Antshrike
Thamnophilus torquatus,Rufous-winged Antshrike
Thamnophilus unicolor,Uniform Antshrike
Thectocercus acuticaudatus,Blue-crowned Parakeet
Theristicus caerulescens,Plumbeous Ibis
Theristicus caudatus,Buff-necked Ibis
Theristicus melanopis,Black-faced Ibis
Thlypopsis pyrrhocoma,Chestnut-headed Tanager
Thlypopsis sordida,Orange-headed Tanager
Thlypopsis superciliaris,Superciliaried Hemispingus
Thraupis abbas,Yellow-winged Tanager
Thraupis episcopus,Blue-gray Tanager
Thraupis palmarum,Palm Tanager
Thraupis sayaca,Sayaca Tanager
Thripadectes flammulatus,Flammulated Treehunter
Thripadectes holostictus,Striped Treehunter
Thripadectes melanorhynchus,Black-billed Treehunter
Thripadectes rufobrunneus,Streak-breasted Treehunter
Thripadectes virgaticeps,Streak-capped Treehunter
Thryomanes bewickii,Bewick's Wren
Thryophilus pleurostictus,Banded Wren
Thryophilus rufalbus,Rufous-and-white Wren
Thryophilus sinaloa,Sinaloa Wren
Thryothorus ludovicianus,Carolina Wren
Tiaris olivaceus,Yellow-faced Grassquit
Tigrisoma lineatum,Rufescent Tiger-Heron
Tigrisoma mexicanum,Bare-throated Tiger-Heron
Timalia pileata,Chestnut-capped Babbler
Tinamus guttatus,White-throated Tinamou
Tinamus major,Great Tinamou
Tinamus solitarius,Solitary Tinamou
Tinamus tao,Gray Tinamou
Tityra cayana,Black-tailed Tityra
Tityra semifasciata,Masked Tityra
Todiramphus chloris,Collared Kingfisher
Todiramphus macleayii,Forest Kingfisher
Todiramphus sanctus,Sacred Kingfisher
Todirostrum chrysocrotaphum,Yellow-browed Tody-Flycatcher
Todirostrum cinereum,Common Tody-Flycatcher
Todirostrum maculatum,Spotted Tody-Flycatcher
Todirostrum nigriceps,Black-headed Tody-Flycatcher
Todirostrum pictum,Painted Tody-Flycatcher
Todirostrum poliocephalum,Gray-headed Tody-Flycatcher
Tolmomyias assimilis,Yellow-margined Flycatcher
Tolmomyias flaviventris,Yellow-breasted Flycatcher
Tolmomyias poliocephalus,Gray-crowned Flycatcher
Tolmomyias sulphurescens,Yellow-olive Flycatcher
Toxostoma bendirei,Bendire's Thrasher
Toxostoma crissale,Crissal Thrasher
Toxostoma curvirostre,Curve-billed Thrasher
Toxostoma lecontei,LeConte's Thrasher
Toxostoma longirostre,Long-billed Thrasher
Toxostoma redivivum,California Thrasher
Toxostoma rufum,Brown Thrasher
Trachyphonus darnaudii,D'Arnaud's Barbet
Trachyphonus purpuratus,Yellow-billed Barbet
Trachyphonus vaillantii,Crested Barbet
Trichoglossus moluccanus,Rainbow Lorikeet
Trichothraupis melanops,Black-goggled Tanager
Triclaria malachitacea,Blue-bellied Parrot
Tringa brevipes,Gray-tailed Tattler
Tringa erythropus,Spotted Redshank
Tringa flavipes,Lesser Yellowlegs
Tringa glareola,Wood Sandpiper
Tringa incana,Wandering Tattler
Tringa melanoleuca,Greater Yellowlegs
Tringa nebularia,Common Greenshank
Tringa ochropus,Green Sandpiper
Tringa semipalmata,Willet
Tringa solitaria,Solitary Sandpiper
Tringa stagnatilis,Marsh Sandpiper
Tringa totanus,Common Redshank
Trochalopteron affine,Black-faced Laughingthrush
Trochalopteron elliotii,Elliot's Laughingthrush
Trochalopteron erythrocephalum,Chestnut-crowned Laughingthrush
Trochalopteron lineatum,Streaked Laughingthrush
Trochalopteron morrisonianum,White-whiskered Laughingthrush
Trochalopteron squamatum,Blue-winged Laughingthrush
Trochocercus cyanomelas,African Crested-Flycatcher
Troglodytes aedon,House Wren
Troglodytes hiemalis,Winter Wren
Troglodytes ochraceus,Ochraceous Wren
Troglodytes pacificus,Pacific Wren
Troglodytes rufociliatus,Rufous-browed Wren
Troglodytes solstitialis,Mountain Wren
Troglodytes troglodytes,Eurasian Wren
Trogon bairdii,Baird's Trogon
Trogon caligatus,Gartered Trogon
Trogon chionurus,White-tailed Trogon
Trogon citreolus,Citreoline Trogon
Trogon collaris,Collared Trogon
Trogon comptus,Blue-tailed Trogon
Trogon curucui,Blue-crowned Trogon
Trogon elegans,Elegant Trogon
Trogon massena,Slaty-tailed Trogon
Trogon melanocephalus,Black-headed Trogon
Trogon melanurus,Black-tailed Trogon
Trogon mexicanus,Mountain Trogon
Trogon personatus,Masked Trogon
Trogon ramonianus,Amazonian Trogon
Trogon rufus,Black-throated Trogon
Trogon surrucura,Surucua Trogon
Trogon violaceus,Guianan Trogon
Trogon viridis,Green-backed Trogon
Tunchiornis ochraceiceps,Tawny-crowned Greenlet
Turdoides jardineii,Arrow-marked Babbler
Turdus abyssinicus,Abyssinian Thrush
Turdus albicollis,White-necked Thrush
Turdus amaurochalinus,Creamy-bellied Thrush
Turdus assimilis,White-throated Thrush
Turdus atrogularis,Black-throated Thrush
Turdus boulboul,Gray-winged Blackbird
Turdus cardis,Japanese Thrush
Turdus chiguanco,Chiguanco Thrush
Turdus chrysolaus,Brown-headed Thrush
Turdus eunomus,Dusky Thrush
Turdus falcklandii,Austral Thrush
Turdus flavipes,Yellow-legged Thrush
Turdus fumigatus,Cocoa Thrush
Turdus fuscater,Great Thrush
Turdus grayi,Clay-colored Thrush
Turdus hauxwelli,Hauxwell's Thrush
Turdus hortulorum,Gray-backed Thrush
Turdus ignobilis,Black-billed Thrush
Turdus iliacus,Redwing
Turdus infuscatus,Black Thrush
Turdus lawrencii,Lawrence's Thrush
Turdus leucomelas,Pale-breasted Thrush
Turdus leucops,Pale-eyed Thrush
Turdus libonyana,Kurrichane Thrush
Turdus mandarinus,Chinese Blackbird
Turdus merula,Eurasian Blackbird
Turdus migratorius,American Robin
Turdus nigriceps,Andean Slaty Thrush
Turdus nudigenis,Spectacled Thrush
Turdus obscurus,Eyebrowed Thrush
Turdus olivaceus,Olive Thrush
Turdus olivater,Black-hooded Thrush
Turdus pallidus,Pale Thrush
Turdus pelios,African Thrush
Turdus philomelos,Song Thrush
Turdus pilaris,Fieldfare
Turdus plebejus,Mountain Thrush
Turdus plumbeus,Red-legged Thrush
Turdus poliocephalus,Island Thrush
Turdus rufiventris,Rufous-bellied Thrush
Turdus rufopalliatus,Rufous-backed Robin
Turdus serranus,Glossy-black Thrush
Turdus simillimus,Indian Blackbird
Turdus smithi,Karoo Thrush
Turdus subalaris,Blacksmith Thrush
Turdus torquatus,Ring Ouzel
Turdus viscivorus,Mistle Thrush
Turnix sylvaticus,Small Buttonquail
Turtur chalcospilos,Emerald-spotted Wood-Dove
Turtur tympanistria,Tambourine Dove
Tympanuchus cupido,Greater Prairie-Chicken
Tympanuchus pallidicinctus,Lesser Prairie-Chicken
Tympanuchus phasianellus,Sharp-tailed Grouse
Tyranneutes stolzmanni,Dwarf Tyrant-Manakin
Tyranneutes virescens,Tiny Tyrant-Manakin
Tyrannopsis sulphurea,Sulphury Flycatcher
Tyrannulus elatus,Yellow-crowned Tyrannulet
Tyrannus couchii,Couch's Kingbird
Tyrannus crassirostris,Thick-billed Kingbird
Tyrannus dominicensis,Gray Kingbird
Tyrannus forficatus,Scissor-tailed Flycatcher
Tyrannus melancholicus,Tropical Kingbird
Tyrannus savana,Fork-tailed Flycatcher
Tyrannus tyrannus,Eastern Kingbird
Tyrannus verticalis,Western Kingbird
Tyrannus vociferans,Cassin's Kingbird
Tyto alba,Barn Owl
Tyto tenebricosa,Sooty Owl
Upucerthia dumetaria,Scale-throated Earthcreeper
Upupa epops,Eurasian Hoopoe
Uraeginthus bengalus,Red-cheeked Cordonbleu
Uria aalge,Common Murre
Urocissa erythroryncha,Red-billed Blue-Magpie
